"ID_FIELD";"CONDITION_STRING"
1;"ALL"
2;"ALL"
3;"ALL"
4;"ALL"
5;"ALL"
6;"ALL"
7;"ALL"
8;"ALL"
9;"ALL"
10;"UBS_RB_DOC_PROCESSING"
