"ID_PRODUCT";"ID_BUSINESS";"ID_PRODUCT_EXT";"NAME_PRODUCT";"TIME_EDIT";"ID_USER_EDIT";"DESCRIPTION_REFERENCE";"LOGO_REFERENCE";"INFO_PRODUCT"
37;12;94;"Депозиты с использованием розничной п/к ДО Квадрат#VISA GOLD ROZNICA RUR";26.02.2018 12:06:13;2;"";"";0
38;12;95;"Депозиты с использованием розничной п/к ККО Школа#VISA CL ROZNICA RUR";26.02.2018 12:06:53;2;"";"";0
39;12;96;"Депозиты с использованием розничной п/к ККО Школа#VISA GOLD ROZNICA RUR";26.02.2018 12:07:21;2;"";"";0
40;12;99;"Депозиты физ. лиц для сторонних клиентов ККО Волна (нерез)#VISA CL ROZNICA RUR";26.02.2018 12:07:56;2;"";"";0
41;12;100;"Депозиты физ. лиц для сторонних клиентов ККО Волна (нерез)#VISA GOLD ROZNICA RUR";26.02.2018 12:08:20;2;"";"";0
42;12;101;"Депозиты физ. лиц для сторонних клиентов Тольятти (нерез)#VISA CL ROZNICA RUR";26.02.2018 12:08:50;2;"";"";0
43;12;102;"Депозиты физ. лиц для сторонних клиентов Тольятти (нерез)#VISA GOLD ROZNICA RUR";26.02.2018 12:09:25;2;"";"";0
44;12;103;"Депозиты физ. лиц для сторонних клиентов ККО Школа (нерез)#VISA CL ROZNICA RUR";26.02.2018 12:09:58;2;"";"";0
45;12;104;"Депозиты физ. лиц для сторонних клиентов ККО Школа (нерез)#VISA GOLD ROZNICA RUR";26.02.2018 12:10:22;2;"";"";0
46;12;105;"Депозиты физ. лиц для сторонних клиентов ККО Сапсан (нерез)#VISA CL ROZNICA RUR";26.02.2018 12:10:48;2;"";"";0
47;12;106;"Депозиты физ. лиц для сторонних клиентов ККО Сапсан (нерез)#VISA GOLD ROZNICA RUR";26.02.2018 12:11:15;2;"";"";0
48;12;107;"Депозиты физ. лиц по расчетам с исполь. розничной п/к в Евро#VISA CL ROZNICA EUR";26.02.2018 12:11:47;2;"";"";0
49;12;108;"Депозиты физ. лиц по расчетам с исполь. розничной п/к в Евро#VISA GOLD ROZNICA EUR";26.02.2018 12:12:20;2;"";"";0
50;12;109;"Депозиты физ. лиц по расч. с исполь. розничной п/к в USD НЕРЕЗ#VISA CL ROZNICA USD";26.02.2018 12:12:53;2;"";"";0
51;12;110;"Депозиты физ. лиц по расч. с исполь. розничной п/к в USD НЕРЕЗ#VISA GOLD ROZNICA USD";26.02.2018 12:13:18;2;"";"";0
52;12;111;"Депозиты с использованием розничной п/к ККО Волна#VISA CL ROZNICA RUR";26.02.2018 12:13:45;2;"";"";0
53;12;112;"Депозиты с использованием розничной п/к ККО Волна#VISA GOLD ROZNICA RUR";26.02.2018 12:14:10;2;"";"";0
54;12;113;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA CL ZP STANDART RUR";26.02.2018 12:15:12;2;"";"";0
55;12;114;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA GOLD ZP STANDART RUR";26.02.2018 12:15:37;2;"";"";0
