"ID_FIELD";"NUM_SENSE";"SENSE_INT";"SENSE_DATE";"SENSE_MONEY";"SENSE_STRING";"SENSE_DECIMAL"
6;1;null;null;null;"подключение";null
6;2;null;null;null;"подключение и абонентская плата";null
