"ID_FIELD";"NAME_FIELD";"MAND_USE";"TYPE_FIELD";"YES_SENSE";"MEANING_FIELD";"IS_NOT_VISUAL";"NUM_ORDER";"FORMAT_FIELD"
1;"Льготный период";false;0;1;"Льготный период обслуживания";false;1;null
2;"Доступный функционал";false;0;0;"Доступ к функционалу системы";true;2;null
3;"Ид. банковского продукта расчетного счета";false;1;0;"Идентификатор банковского продукта расчетного счета";true;3;null
4;"Договоры для работы";false;0;0;"Договоры для работы";true;4;null
5;"Маска номера договора";false;4;0;"Маска номера договора";false;5;null
6;"Оплата в момент создания договора";false;4;1;"Оплата в момент создания договора";false;6;null
7;"Банковские продукты";false;0;0;"Банковские продукты";true;7;null
