"ID_OBJECT";"ID_FIELD";"INDEX_ROW";"INDEX_COLUMN";"FIELD_INT";"FIELD_DATE";"FIELD_MONEY";"FIELD_STRING";"FIELD_DECIMAL"
2;1;0;0;1;null;null;null;null
2;1;0;1;26;null;null;null;null
2;9;0;0;3;null;null;null;null
2;9;1;0;2;null;null;null;null
3;1;0;0;1;null;null;null;null
3;1;0;1;21;null;null;null;null
3;9;0;0;3;null;null;null;null
4;1;0;0;1;null;null;null;null
4;1;0;1;5;null;null;null;null
4;9;0;0;3;null;null;null;null
4;9;1;0;4;null;null;null;null
5;1;0;0;1;null;null;null;null
5;1;0;1;15;null;null;null;null
5;9;0;0;3;null;null;null;null
5;9;1;0;4;null;null;null;null
5;9;2;0;5;null;null;null;null
6;1;0;0;1;null;null;null;null
6;1;0;1;20;null;null;null;null
6;9;0;0;3;null;null;null;null
6;9;1;0;4;null;null;null;null
6;9;2;0;6;null;null;null;null
7;1;0;0;1;null;null;null;null
7;1;0;1;27;null;null;null;null
7;9;0;0;3;null;null;null;null
7;9;1;0;4;null;null;null;null
7;9;2;0;6;null;null;null;null
7;9;3;0;7;null;null;null;null
8;1;0;0;1;null;null;null;null
8;1;0;1;51;null;null;null;null
8;9;0;0;3;null;null;null;null
8;9;1;0;4;null;null;null;null
8;9;2;0;6;null;null;null;null
8;9;3;0;8;null;null;null;null
9;1;0;0;1;null;null;null;null
9;1;0;1;52;null;null;null;null
9;9;0;0;3;null;null;null;null
9;9;1;0;4;null;null;null;null
9;9;2;0;6;null;null;null;null
9;9;3;0;8;null;null;null;null
9;9;4;0;9;null;null;null;null
10;1;0;0;1;null;null;null;null
10;1;0;1;55;null;null;null;null
10;9;0;0;3;null;null;null;null
10;9;1;0;4;null;null;null;null
10;9;2;0;6;null;null;null;null
10;9;3;0;8;null;null;null;null
10;9;4;0;9;null;null;null;null
10;9;5;0;10;null;null;null;null
11;1;0;0;1;null;null;null;null
11;1;0;1;56;null;null;null;null
11;9;0;0;3;null;null;null;null
11;9;1;0;4;null;null;null;null
11;9;2;0;6;null;null;null;null
11;9;3;0;8;null;null;null;null
11;9;4;0;9;null;null;null;null
11;9;5;0;10;null;null;null;null
11;9;6;0;11;null;null;null;null
12;1;0;0;1;null;null;null;null
12;1;0;1;61;null;null;null;null
12;9;0;0;3;null;null;null;null
12;9;1;0;4;null;null;null;null
12;9;2;0;6;null;null;null;null
12;9;3;0;8;null;null;null;null
12;9;4;0;9;null;null;null;null
12;9;5;0;10;null;null;null;null
12;9;6;0;11;null;null;null;null
12;9;7;0;12;null;null;null;null
13;1;0;0;1;null;null;null;null
13;1;0;1;62;null;null;null;null
13;9;0;0;3;null;null;null;null
13;9;1;0;4;null;null;null;null
13;9;2;0;6;null;null;null;null
13;9;3;0;8;null;null;null;null
13;9;4;0;9;null;null;null;null
13;9;5;0;10;null;null;null;null
13;9;6;0;11;null;null;null;null
13;9;7;0;12;null;null;null;null
13;9;8;0;13;null;null;null;null
14;1;0;0;1;null;null;null;null
14;1;0;1;63;null;null;null;null
14;9;0;0;3;null;null;null;null
14;9;1;0;4;null;null;null;null
14;9;2;0;6;null;null;null;null
14;9;3;0;8;null;null;null;null
14;9;4;0;9;null;null;null;null
14;9;5;0;10;null;null;null;null
14;9;6;0;11;null;null;null;null
14;9;7;0;12;null;null;null;null
14;9;8;0;13;null;null;null;null
14;9;9;0;14;null;null;null;null
15;1;0;0;1;null;null;null;null
15;1;0;1;64;null;null;null;null
15;9;0;0;3;null;null;null;null
15;9;1;0;4;null;null;null;null
15;9;2;0;6;null;null;null;null
15;9;3;0;14;null;null;null;null
15;9;4;0;8;null;null;null;null
15;9;5;0;9;null;null;null;null
15;9;6;0;10;null;null;null;null
15;9;7;0;11;null;null;null;null
15;9;8;0;12;null;null;null;null
15;9;9;0;13;null;null;null;null
15;9;10;0;15;null;null;null;null
16;1;0;0;1;null;null;null;null
16;1;0;1;65;null;null;null;null
16;9;0;0;3;null;null;null;null
16;9;1;0;4;null;null;null;null
16;9;2;0;6;null;null;null;null
16;9;3;0;14;null;null;null;null
16;9;4;0;15;null;null;null;null
16;9;5;0;8;null;null;null;null
16;9;6;0;9;null;null;null;null
16;9;7;0;10;null;null;null;null
16;9;8;0;11;null;null;null;null
16;9;9;0;12;null;null;null;null
16;9;10;0;13;null;null;null;null
16;9;11;0;16;null;null;null;null
17;1;0;0;1;null;null;null;null
17;1;0;1;66;null;null;null;null
17;9;0;0;3;null;null;null;null
17;9;1;0;4;null;null;null;null
17;9;2;0;6;null;null;null;null
17;9;3;0;14;null;null;null;null
17;9;4;0;15;null;null;null;null
17;9;5;0;16;null;null;null;null
17;9;6;0;8;null;null;null;null
17;9;7;0;9;null;null;null;null
17;9;8;0;10;null;null;null;null
17;9;9;0;11;null;null;null;null
17;9;10;0;12;null;null;null;null
17;9;11;0;13;null;null;null;null
17;9;12;0;17;null;null;null;null
18;1;0;0;1;null;null;null;null
18;1;0;1;67;null;null;null;null
18;9;0;0;3;null;null;null;null
18;9;1;0;4;null;null;null;null
18;9;2;0;6;null;null;null;null
18;9;3;0;14;null;null;null;null
18;9;4;0;15;null;null;null;null
18;9;5;0;16;null;null;null;null
18;9;6;0;17;null;null;null;null
18;9;7;0;8;null;null;null;null
18;9;8;0;9;null;null;null;null
18;9;9;0;10;null;null;null;null
18;9;10;0;11;null;null;null;null
18;9;11;0;12;null;null;null;null
18;9;12;0;13;null;null;null;null
18;9;13;0;18;null;null;null;null
19;1;0;0;1;null;null;null;null
19;1;0;1;68;null;null;null;null
19;9;0;0;3;null;null;null;null
19;9;1;0;4;null;null;null;null
19;9;2;0;6;null;null;null;null
19;9;3;0;14;null;null;null;null
19;9;4;0;15;null;null;null;null
19;9;5;0;16;null;null;null;null
19;9;6;0;17;null;null;null;null
19;9;7;0;18;null;null;null;null
19;9;8;0;8;null;null;null;null
19;9;9;0;9;null;null;null;null
19;9;10;0;10;null;null;null;null
19;9;11;0;11;null;null;null;null
19;9;12;0;12;null;null;null;null
19;9;13;0;13;null;null;null;null
19;9;14;0;19;null;null;null;null
20;1;0;0;1;null;null;null;null
20;1;0;1;69;null;null;null;null
20;9;0;0;3;null;null;null;null
20;9;1;0;4;null;null;null;null
20;9;2;0;6;null;null;null;null
20;9;3;0;14;null;null;null;null
20;9;4;0;15;null;null;null;null
20;9;5;0;16;null;null;null;null
20;9;6;0;17;null;null;null;null
20;9;7;0;18;null;null;null;null
20;9;8;0;19;null;null;null;null
20;9;9;0;8;null;null;null;null
20;9;10;0;9;null;null;null;null
20;9;11;0;10;null;null;null;null
20;9;12;0;11;null;null;null;null
20;9;13;0;12;null;null;null;null
20;9;14;0;13;null;null;null;null
20;9;15;0;20;null;null;null;null
21;1;0;0;1;null;null;null;null
