"ID_RATE";"ID_TYPE";"KIND_RATE";"AMOUNT_MIN";"AMOUNT_MAX";"ID_CURRENCY"
1;4;0; 0,00 ₽; 0,00 ₽;810
2;3;0; 0,00 ₽; 0,00 ₽;810
