"ID_TYPE";"NAME_TYPE"
0;"..."
3;"Счет доходов для абонентской платы"
2;"Счет доходов для оплаты подключения услуги"
1;"Счет доходов операционных комиссий"
4;"Счет незавершенных расчетов"
