"ID_PRODUCT_EXT";"NAME_PRODUCT_EXT";"ID_BUSINESS"
44;"КК ИП Филимонов А.Ю.#VISA CL KORP-UR RUR";12
45;"КК ИП Шомин Л.Е.#VISA CL KORP-UR RUR";12
46;"КОРПООРАТИВНАЯ КАРТА ЮР.ЛИЦА#VISA GOLD KORP-UR RUR";12
157;"КОРПОРАТИВНАЯ КАРТА РТС#VISA CL KORP-RTS RUR";12
158;"КОРПОРАТИВНАЯ КАРТА РТС#VISA GOLD KORP-RTS RUR";12
47;"КОРПОРАТИВНАЯ КАРТА ЮЛ#VISA CL KORP-UR RUR";12
48;"КОРПОРАТИВНАЯ КАРТА ЮЛ#VISA GOLD KORP-UR RUR";12
97;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA CL SEIF RUR";12
113;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA CL ZP STANDART RUR";12
114;"КОРПОРАТИВНЫЙ СЕЙФ (ГО)#VISA GOLD ZP STANDART RUR";12
98;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA CL SEIF RUR";12
115;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA CL ZP STANDART RUR";12
116;"КОРПОРАТИВНЫЙ СЕЙФ (ДО Завод)#VISA GOLD ZP STANDART RUR";12
0;"Не задан";12
14;"Пенс.карта (до 05.06.2015, плавающая ставка КС+1пп) + ОВЕРДРАФТ#MIR PENS CLASSIC";12
7;"Пенс.карта (с 01.08.2015, фикс ставка)#MIR PENS CLASSIC";12
13;"Пенс.карта (с 01.08.2015, фиксированная ставка)#MIR PENS CLASSIC";12
12;"Пенс.карта (с 05.06.2015 до 01.08.2015, плавающая ставка КС)#MIR PENS CLASSIC";12
6;"Пенс.карта (с 05.06.2015, плавающая ставка)#MIR PENS CLASSIC";12
15;"Пенсионная карта (фиксированная ставка) + ОВЕРДРАФТ#MIR PENS CLASSIC";12
5;"Пенсионная карта (фиксированная ставка)#MIR PENS CLASSIC";12
159;"Пенсионная карта (фиксированная ставка)#VISA CL ZP STANDART RUR";12
160;"Пенсионная карта (фиксированная ставка)#VISA GOLD ZP STANDART RUR";12
26;"Расчеты по пластиковым картам АО ""РТС-Банк"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
27;"Расчеты по пластиковым картам АО ""РТС-Банк"" + ОВЕРДРАФТ#VISA GOLD ZP STANDART RUR";12
20;"Расчеты по пластиковым картам АО ""РТС-Банк""#VISA CL ZP STANDART RUR";12
21;"Расчеты по пластиковым картам АО ""РТС-Банк""#VISA GOLD ZP STANDART RUR";12
53;"Расчеты по пластиковым картам ГАОУ СПО ТКТСП#VISA CL ZP STANDART RUR";12
54;"Расчеты по пластиковым картам ГАОУ СПО ТКТСП#VISA GOLD ZP STANDART RUR";12
125;"Расчеты по пластиковым картам МП ""СРС"" + ОВЕРДРАФТ#VISA CL ZP STANDART RUR";12
