"ID_FIELD";"CONDITION_STRING"
1;"ALL"
2;"UR"
3;"ALL"
4;"ALL"
5;"ALL"
6;"ALL"
7;"ALL"
8;"ALL"
9;"ALL"
10;"ALL"
11;"ALL"
12;"ALL"
13;"ALL"
14;"UR"
15;"ALL"
16;"ALL"
17;"ALL"
18;"ALL"
19;"ALL"
20;"ALL"
21;"ALL"
22;"UR"
23;"ALL"
24;"UR"
25;"FIZ"
26;"FIZ"
27;"FIZ"
28;"FIZ"
29;"FIZ"
