"ID_FIELD";"NAME_FIELD";"MAND_USE";"TYPE_FIELD";"YES_SENSE";"MEANING_FIELD";"IS_NOT_VISUAL";"NUM_ORDER";"FORMAT_FIELD"
1;"Действия операции";false;0;0;"Действия операции";false;1;null
2;"Сумма операции";false;3;0;"Сумма операции";false;2;null
