"id";"action";"action_date";"initiator";"object_class";"object_id"
125,0;"INSERT";13.07.2017 15:07:36;"fadmin";"ru.cft.web.fxgate.admin.model.Card";122,0
130,0;"INSERT";14.07.2017 9:24:16;"fadmin";"ru.cft.web.fxgate.admin.model.Account";127,0
131,0;"INSERT";14.07.2017 9:24:17;"fadmin";"ru.cft.web.fxgate.admin.model.Card";128,0
132,0;"INSERT";14.07.2017 9:24:17;"fadmin";"ru.cft.web.fxgate.admin.model.AccountPerm";129,0
133,0;"UPDATE";14.07.2017 9:24:37;"fadmin";"ru.cft.web.fxgate.admin.model.Account";127,0
135,0;"INSERT";14.07.2017 9:25:51;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";134,0
136,0;"UPDATE";14.07.2017 9:25:51;"fadmin";"ru.cft.web.fxgate.admin.model.Card";128,0
137,0;"UPDATE";14.07.2017 9:35:06;"fadmin";"ru.cft.web.fxgate.admin.model.Account";127,0
139,0;"INSERT";14.07.2017 9:38:47;"fadmin";"ru.cft.web.fxgate.admin.model.CardProduct";138,0
141,0;"INSERT";14.07.2017 9:38:47;"fadmin";"ru.cft.web.fxgate.admin.model.CardProduct";140,0
142,0;"UPDATE";14.07.2017 9:39:03;"fadmin";"ru.cft.web.fxgate.admin.model.Card";128,0
143,0;"UPDATE";14.07.2017 9:41:09;"fadmin";"ru.cft.web.fxgate.admin.model.Card";128,0
145,0;"INSERT";14.07.2017 9:44:32;"fadmin";"ru.cft.web.fxgate.admin.model.Card";144,0
147,0;"INSERT";14.07.2017 9:45:07;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";146,0
148,0;"UPDATE";14.07.2017 9:45:07;"fadmin";"ru.cft.web.fxgate.admin.model.Card";144,0
149,0;"UPDATE";14.07.2017 10:38:01;"fadmin";"ru.cft.web.fxgate.admin.model.Account";127,0
150,0;"UPDATE";14.07.2017 10:38:05;"fadmin";"ru.cft.web.fxgate.admin.model.Account";127,0
151,0;"DELETE";14.07.2017 11:16:16;"fadmin";"ru.cft.web.fxgate.admin.model.CardPerm";146,0
